Node,Depth,Value,Alpha,Beta
E5,3,-5,33,Infinity
A1,2,33,33,Infinity
A2,1,33,32,33
B1,2,-Infinity,32,33
A1,3,41,32,33
B1,2,41,32,33
A2,1,33,32,33
E1,2,-Infinity,32,33
A1,3,-5,32,33
E1,2,-5,32,33
B1,3,-9,32,33
E1,2,-5,32,33
B2,3,-9,32,33
E1,2,-5,32,33
A3,3,3,32,33
E1,2,3,32,33
B3,3,23,32,33
E1,2,23,32,33
C3,3,-12,32,33
E1,2,23,32,33
E3,3,-8,32,33
E1,2,23,32,33
A4,3,-5,32,33
E1,2,23,32,33
B4,3,-13,32,33
E1,2,23,32,33
E4,3,-23,32,33
E1,2,23,32,33
A5,3,0,32,33
E1,2,23,32,33
B5,3,5,32,33
E1,2,23,32,33
C5,3,-2,32,33
E1,2,23,32,33
D5,3,-4,32,33
E1,2,23,32,33
E5,3,-15,32,33
E1,2,23,32,33
A2,1,23,32,33
root,0,32,32,Infinity
B2,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,35,32,Infinity
A1,2,35,35,Infinity
E1,3,7,35,Infinity
A1,2,35,35,Infinity
A2,3,37,35,Infinity
A1,2,37,37,Infinity
A3,3,5,37,Infinity
A1,2,37,37,Infinity
B3,3,25,37,Infinity
A1,2,37,37,Infinity
C3,3,-10,37,Infinity
A1,2,37,37,Infinity
E3,3,-6,37,Infinity
A1,2,37,37,Infinity
A4,3,-3,37,Infinity
A1,2,37,37,Infinity
B4,3,-11,37,Infinity
A1,2,37,37,Infinity
E4,3,-21,37,Infinity
A1,2,37,37,Infinity
A5,3,2,37,Infinity
A1,2,37,37,Infinity
B5,3,7,37,Infinity
A1,2,37,37,Infinity
C5,3,0,37,Infinity
A1,2,37,37,Infinity
D5,3,-2,37,Infinity
A1,2,37,37,Infinity
E5,3,-13,37,Infinity
A1,2,37,37,Infinity
B2,1,37,32,37
B1,2,-Infinity,32,37
A1,3,-23,32,37
B1,2,-23,32,37
E1,3,-13,32,37
B1,2,-13,32,37
A2,3,-23,32,37
B1,2,-13,32,37
A3,3,-15,32,37
B1,2,-13,32,37
B3,3,5,32,37
B1,2,5,32,37
C3,3,-30,32,37
B1,2,5,32,37
E3,3,-26,32,37
B1,2,5,32,37
A4,3,-23,32,37
B1,2,5,32,37
B4,3,-31,32,37
B1,2,5,32,37
E4,3,-41,32,37
B1,2,5,32,37
A5,3,-18,32,37
B1,2,5,32,37
B5,3,-13,32,37
B1,2,5,32,37
C5,3,-20,32,37
B1,2,5,32,37
D5,3,-22,32,37
B1,2,5,32,37
E5,3,-33,32,37
B1,2,5,32,37
B2,1,5,32,37
root,0,32,32,Infinity
A3,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,9,32,Infinity
A1,2,9,32,Infinity
E1,3,23,32,Infinity
A1,2,23,32,Infinity
A2,3,53,32,Infinity
A1,2,53,53,Infinity
B2,3,5,53,Infinity
A1,2,53,53,Infinity
B3,3,41,53,Infinity
A1,2,53,53,Infinity
C3,3,6,53,Infinity
A1,2,53,53,Infinity
E3,3,10,53,Infinity
A1,2,53,53,Infinity
A4,3,13,53,Infinity
A1,2,53,53,Infinity
B4,3,5,53,Infinity
A1,2,53,53,Infinity
E4,3,-5,53,Infinity
A1,2,53,53,Infinity
A5,3,18,53,Infinity
A1,2,53,53,Infinity
B5,3,23,53,Infinity
A1,2,53,53,Infinity
C5,3,16,53,Infinity
A1,2,53,53,Infinity
D5,3,14,53,Infinity
A1,2,53,53,Infinity
E5,3,3,53,Infinity
A1,2,53,53,Infinity
A3,1,53,32,53
B1,2,-Infinity,32,53
A1,3,17,32,53
B1,2,17,32,53
E1,3,27,32,53
B1,2,27,32,53
A2,3,17,32,53
B1,2,27,32,53
B2,3,9,32,53
B1,2,27,32,53
B3,3,45,32,53
B1,2,45,45,53
C3,3,10,45,53
B1,2,45,45,53
E3,3,14,45,53
